Scene,Filename,Mean_PSNR,Mean_SSIM,Gaussian_PSNR,Gaussian_SSIM,Median_PSNR,Median_SSIM
L15-0358E-1220N_1433_3310_13,global_monthly_2018_03_mosaic_L15-0358E-1220N_1433_3310_13.tif,27.110762454555672,0.8327228860774286,31.87937322330408,0.94322172616799,28.28932276923078,0.8625051681460085
L15-0358E-1220N_1433_3310_13,global_monthly_2018_04_mosaic_L15-0358E-1220N_1433_3310_13.tif,28.982289493453415,0.8500876277410071,33.621746671863775,0.9471329476888412,30.054077015348245,0.8740902247282023
L15-0358E-1220N_1433_3310_13,global_monthly_2018_05_mosaic_L15-0358E-1220N_1433_3310_13.tif,28.622972679076835,0.8311546812106101,33.213654539251685,0.9411459665059524,29.62238735249712,0.8572259018512709
L15-0358E-1220N_1433_3310_13,global_monthly_2018_06_mosaic_L15-0358E-1220N_1433_3310_13.tif,33.54656601616129,0.9001655628559125,37.7601929186351,0.95946810281361,34.38129740288396,0.9109086062586312
L15-0358E-1220N_1433_3310_13,global_monthly_2018_07_mosaic_L15-0358E-1220N_1433_3310_13.tif,31.00903868074477,0.866016935784119,35.50781517137091,0.9509619780373093,31.999139138360167,0.8850601180618162
L15-0358E-1220N_1433_3310_13,global_monthly_2018_08_mosaic_L15-0358E-1220N_1433_3310_13.tif,29.417731396335554,0.8495557688767548,33.972100353067816,0.9461578775380842,30.356672554348165,0.8715520336792536
L15-0358E-1220N_1433_3310_13,global_monthly_2018_09_mosaic_L15-0358E-1220N_1433_3310_13.tif,29.523480360437024,0.8589587354920771,34.135512367630405,0.9498737784427111,30.556228532495137,0.8812073874658473
L15-0358E-1220N_1433_3310_13,global_monthly_2018_10_mosaic_L15-0358E-1220N_1433_3310_13.tif,28.494453809465167,0.8648280467153803,33.31451373944955,0.9543165695042488,29.697588724124017,0.8888275095407615
L15-0358E-1220N_1433_3310_13,global_monthly_2018_11_mosaic_L15-0358E-1220N_1433_3310_13.tif,30.43635584092092,0.8888717761532452,35.181749605226436,0.9596105013453852,31.646761209523376,0.9066625528798147
L15-0358E-1220N_1433_3310_13,global_monthly_2018_12_mosaic_L15-0358E-1220N_1433_3310_13.tif,26.858732228670227,0.8642923827076523,31.836868730283733,0.9543989011071106,28.258355561047324,0.8912530862551945
L15-0358E-1220N_1433_3310_13,global_monthly_2019_01_mosaic_L15-0358E-1220N_1433_3310_13.tif,32.87655548164262,0.9390479436725002,37.487724409207175,0.9729902090080812,34.38273113908088,0.9461756433096674
L15-0358E-1220N_1433_3310_13,global_monthly_2019_02_mosaic_L15-0358E-1220N_1433_3310_13.tif,26.287614401502047,0.8426148255386544,31.102549088001076,0.9452799612924049,27.50148010559984,0.8713587403489677
L15-0358E-1220N_1433_3310_13,global_monthly_2019_03_mosaic_L15-0358E-1220N_1433_3310_13.tif,25.544481031264787,0.8251103890598863,30.29021799288842,0.9395221941422033,26.802851274704658,0.8586008854192794
L15-0358E-1220N_1433_3310_13,global_monthly_2019_04_mosaic_L15-0358E-1220N_1433_3310_13.tif,27.462630937134023,0.8419419568981947,32.25407602381405,0.9475164912074607,28.627751080752773,0.8702732677210776
L15-0358E-1220N_1433_3310_13,global_monthly_2019_05_mosaic_L15-0358E-1220N_1433_3310_13.tif,33.44015115816918,0.8849478793407917,37.51576279441123,0.9519492980495099,34.18869032160853,0.8956316913859336
L15-0358E-1220N_1433_3310_13,global_monthly_2019_06_mosaic_L15-0358E-1220N_1433_3310_13.tif,28.278327353102902,0.8335515630666956,32.9098827737596,0.9428368585867205,29.327675942725474,0.8602653389977403
L15-0358E-1220N_1433_3310_13,global_monthly_2019_07_mosaic_L15-0358E-1220N_1433_3310_13.tif,27.710270142975425,0.8337149133305403,32.34218637036379,0.9426271056938277,28.728945868099053,0.8599823011292937
L15-0358E-1220N_1433_3310_13,global_monthly_2019_08_mosaic_L15-0358E-1220N_1433_3310_13.tif,28.150726453141143,0.8386471827670559,32.87210143735224,0.9454097465496183,29.25515886843158,0.8657165511052861
